elevator_id,location,license_status,license_expiry
11132,120 BROADWAY AVE  TORONTO M4P 1V6 ON CA,ACTIVE,2017-01-15
11133,678 BROADVIEW AVE  TORONTO M4K 2P2 ON CA,ACTIVE,2017-05-15
11134,678 BROADVIEW AVE  TORONTO M4K 2P2 ON CA,ACTIVE,2017-05-15
11142,100 GLOUCESTER ST  TORONTO M4Y 1M1 ON CA,ACTIVE,2017-08-09
11143,100 GLOUCESTER ST  TORONTO M4Y 1M1 ON CA,ACTIVE,2017-09-27
11144,100 GLOUCESTER ST  TORONTO M4Y 1M1 ON CA,ACTIVE,2016-12-05
11146,103 CHURCH ST  TORONTO M5C 2G3 ON CA,ACTIVE,2017-05-23
11147,360 ADELAIDE ST W  TORONTO M5V 1R7 ON CA,ACTIVE,2017-09-15
11148,240 ORIOLE PKWY  TORONTO M5P 2H1 ON CA,ACTIVE,2017-09-15
11150,1000 YONGE ST  TORONTO M4W 2K2 ON CA,ACTIVE,2017-05-15
11157,443 UNIVERSITY AVE  TORONTO M5G 2H6 ON CA,ACTIVE,2017-07-07
11158,443 UNIVERSITY AVE  TORONTO M5G 2H6 ON CA,ACTIVE,2017-07-15
11159,60 YONGE ST  TORONTO M5E 1H5 ON CA,ACTIVE,2017-01-15
11160,60 YONGE ST  TORONTO M5E 1H5 ON CA,ACTIVE,2017-01-15
11161,60 YONGE ST  TORONTO M5E 1H5 ON CA,ACTIVE,2017-01-15
11162,55 YORK ST  TORONTO M5J 1R7 ON CA,ACTIVE,2017-01-21
11163,55 YORK ST  TORONTO M5J 1R7 ON CA,ACTIVE,2017-06-15
11164,55 YORK ST  TORONTO M5J 1R7 ON CA,ACTIVE,2017-06-15
11173,20 BRANT ST  TORONTO M5V 2M1 ON CA,ACTIVE,2017-09-01
11202,115 WINONA DR MCMURRICH PS TORONTO M6G 3S8 ON CA,ACTIVE,2017-09-01
11228,991 ST CLAIR AVE W OAKWOOD CI TORONTO M6E 1A3 ON CA,ACTIVE,2017-09-01
