ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
35685,4 SILVER MAPLE CRT  BRAMPTON L6T 4R2 ON CA,208913,ACTIVE,15-Dec-16,FOUR SILVER MAPLE HOLDINGS INC.,data redacted,4 SILVER MAPLE CRT  BRAMPTON ON L6T 4R2 CA,FOUR SILVER MAPLE HOLDINGS INC.,"200 UNIVERSITY AVE SUITE 900 TORONTO, ON, M5H 3C6, CA",data redacted
35686,4 SILVER MAPLE CRT  BRAMPTON L6T 4R2 ON CA,208915,ACTIVE,15-Dec-16,FOUR SILVER MAPLE HOLDINGS INC.,data redacted,4 SILVER MAPLE CRT  BRAMPTON ON L6T 4R2 CA,FOUR SILVER MAPLE HOLDINGS INC.,"200 UNIVERSITY AVE SUITE 900 TORONTO, ON, M5H 3C6, CA",data redacted
35687,4 SILVER MAPLE CRT  BRAMPTON L6T 4R2 ON CA,208916,ACTIVE,15-Dec-16,FOUR SILVER MAPLE HOLDINGS INC.,data redacted,4 SILVER MAPLE CRT  BRAMPTON ON L6T 4R2 CA,FOUR SILVER MAPLE HOLDINGS INC.,"200 UNIVERSITY AVE SUITE 900 TORONTO, ON, M5H 3C6, CA",data redacted
35688,1 CARUSO GDNS  AURORA L4G 3W4 ON CA,EDLIC-035688,ACTIVE,15-Nov-17,AURORA VILLAGE CO-OPERATIVE,data redacted,1 CARUSO GDNS  AURORA ON L4G 3W4 CA,AURORA VILLAGE CO-OPERATIVE,"1 CARUSO GDNS  AURORA, ON, L4G 3W4, CA",data redacted
35689,1 CARUSO GDNS  AURORA L4G 3W4 ON CA,EDLIC-035689,ACTIVE,15-Nov-17,AURORA VILLAGE CO-OPERATIVE,data redacted,1 CARUSO GDNS  AURORA ON L4G 3W4 CA,AURORA VILLAGE CO-OPERATIVE,"1 CARUSO GDNS  AURORA, ON, L4G 3W4, CA",data redacted
3569,1315 DAVENPORT RD  TORONTO M6H 2H4 ON CA,EDLIC-003569,CANCELLED_NOT_RENEWED,15-Mar-98,METRO SPORTSWEAR LIMITED,data redacted,1315 DAVENPORT RD  TORONTO ON M6H 2H4 CA,METRO SPORTSWEAR LIMITED,"1315 DAVENPORT RD  TORONTO, ON, M6H 2H4, CA",data redacted
35690,1770 EGLINTON AV E  NORTH YORK M4A 2T1 ON CA,EDLIC-035690,ACTIVE,15-Sep-17,GOLDEN GATE APARTMENTS,data redacted,1770 EGLINTON AV E  NORTH YORK ON M4A 2T1 CA,GOLDEN GATE APARTMENTS,"200 BAY ST SUITE 900  TORONTO, ON, M5J 2J2, CA",data redacted
35691,1770 EGLINTON AV E  NORTH YORK M4A 2T1 ON CA,EDLIC-035691,ACTIVE,15-Sep-17,GOLDEN GATE APARTMENTS,data redacted,1770 EGLINTON AV E  NORTH YORK ON M4A 2T1 CA,GOLDEN GATE APARTMENTS,"200 BAY ST SUITE 900  TORONTO, ON, M5J 2J2, CA",data redacted
35693,10 WARNER - COLPITTES LANE  STITTSVILLE K2S 1A3 ON CA,EDLIC-035693,ACTIVE,15-Nov-17,CITY OF OTTAWA,data redacted,110 LAURIER AVE W  OTTAWA ON K1P 1J1 CA,CITY OF OTTAWA,"110 LAURIER AVE W  OTTAWA, ON, K1P 1J1, CA",data redacted
35694,399 CHURCH ST  TORONTO M5B 2J6 ON CA,EDLIC-035694,ACTIVE,15-Sep-17,399 CHURCH ST INC C/O ESBIN PROPERTY MANAGEMENT INC,data redacted,162 CUMBERLAND ST Suite 300 TORONTO ON M5R 3N5 CA,399 CHURCH ST INC C/O ESBIN PROPERTY MANAGEMENT INC,"162 CUMBERLAND ST Suite 300 TORONTO, ON, M5R 3N5, CA",data redacted
