ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
80079,9 GURDWARA  NEPEAN K2E 7X6 ON CA,EDLIC-2003-080197,ACTIVE,24-Jul-17,CARE CANADA,data redacted,1200 PRINCE OF WALES DR SUITE D OTTAWA ON K2C 3Y4 CA,CARE CANADA,"1200 PRINCE OF WALES DR SUITE D OTTAWA, ON, K2C 3Y4, CA",data redacted
80096,900 BOGART MILL TRAIL  NEWMARKET L3Y 8V5 ON CA,EDLIC-2004-081242,ACTIVE,09-Mar-17,ON BOGART POND C/O Y.R.S.C.C. 1013,data redacted,89 SKYWAY AVE SUITE 200 TORONTO ON M9W 6R4 CA,ON BOGART POND C/O Y.R.S.C.C. 1013,"89 SKYWAY AVE SUITE 200 TORONTO, ON, M9W 6R4, CA",data redacted
80097,900 BOGART MILL TRAIL  NEWMARKET L3Y 8V5 ON CA,EDLIC-2003-080624,ACTIVE,27-Oct-17,ON BOGART POND C/O Y.R.S.C.C. 1013,data redacted,89 SKYWAY AVE SUITE 200 TORONTO ON M9W 6R4 CA,ON BOGART POND C/O Y.R.S.C.C. 1013,"89 SKYWAY AVE SUITE 200 TORONTO, ON, M9W 6R4, CA",data redacted
80098,900 BOGART MILL TRAIL  NEWMARKET L3Y 8V5 ON CA,EDLIC-2003-080601,ACTIVE,17-Oct-17,ON BOGART POND C/O Y.R.S.C.C. 1013,data redacted,89 SKYWAY AVE SUITE 200 TORONTO ON M9W 6R4 CA,ON BOGART POND C/O Y.R.S.C.C. 1013,"89 SKYWAY AVE SUITE 200 TORONTO, ON, M9W 6R4, CA",data redacted
80099,145 EVANS AVENEUE  TORONTO M8Z 5X8 ON CA,EDLIC-2003-080372,ACTIVE,09-Sep-17,UKRANIAN NATIONAL FEDERATION (TORONTO BRANCH),data redacted,145 EVANS AVENUE  TORONTO ON M8Z 5X8 CA,UKRANIAN NATIONAL FEDERATION (TORONTO BRANCH),"145 EVANS AVENUE  TORONTO, ON, M8Z 5X8, CA",data redacted
80100,293 BAY ST  SAULT STE MARIE P6A 1X3 ON CA,EDLIC-2003-080448,ACTIVE,18-Sep-17,SEARS CANADA INC,data redacted,290 YONGE ST SUITE 700  TORONTO ON M5B 2C3 CA,SEARS CANADA INC,"290 YONGE ST SUITE 700  TORONTO, ON, M5B 2C3, CA",data redacted
80106,200 INTERCHANGE WAY  VAUGHAN L4K 5C3 ON CA,EDLIC-2003-080149,ACTIVE,17-Jul-17,IKEA,data redacted,PO BOX 20038 RPO THISTLETOWN  ETOBICOKE ON M9V 0A4 CA,IKEA,"PO BOX 20038 RPO THISTLETOWN  ETOBICOKE, ON, M9V 0A4, CA",data redacted
80107,200 INTERCHANGE WAY  VAUGHAN L4K 5C3 ON CA,EDLIC-2003-080150,ACTIVE,17-Jul-17,IKEA,data redacted,PO BOX 20038 RPO THISTLETOWN  ETOBICOKE ON M9V 0A4 CA,IKEA,"PO BOX 20038 RPO THISTLETOWN  ETOBICOKE, ON, M9V 0A4, CA",data redacted
80108,200 INTERCHANGE WAY  VAUGHAN L4K 5C3 ON CA,EDLIC-2003-080144,ACTIVE,15-Jul-17,IKEA,data redacted,PO BOX 20038 RPO THISTLETOWN  ETOBICOKE ON M9V 0A4 CA,IKEA,"PO BOX 20038 RPO THISTLETOWN  ETOBICOKE, ON, M9V 0A4, CA",data redacted
80109,30 KINGSTON RD WEST  AJAX L1T 4K8 ON CA,EDLIC-2003-080235,ACTIVE,01-May-17,LOBLAWS PROPERTIES,data redacted,1 PRESIDENTS CHOICE CIR  BRAMPTON ON L6Y 5S5 CA,LOBLAWS PROPERTIES,"1 PRESIDENTS CHOICE CIR  BRAMPTON, ON, L6Y 5S5, CA",data redacted
80110,825 DON MILLS RD  DON MILLS M3C 1V4 ON CA,270753,ACTIVE,07-Aug-17,LOBLAWS PROPERTIES,data redacted,1 PRESIDENTS CHOICE CIR  BRAMPTON ON L6Y 5S5 CA,LOBLAWS PROPERTIES,"1 PRESIDENTS CHOICE CIR  BRAMPTON, ON, L6Y 5S5, CA",data redacted
80111,825 DON MILLS RD  DON MILLS M3C 1V4 ON CA,EDLIC-2003-080744,ACTIVE,01-May-17,LOBLAWS PROPERTIES,data redacted,1 PRESIDENTS CHOICE CIR  BRAMPTON ON L6Y 5S5 CA,LOBLAWS PROPERTIES,"1 PRESIDENTS CHOICE CIR  BRAMPTON, ON, L6Y 5S5, CA",data redacted
80112,900 KING ST  LONDON N5Y 5P8 ON CA,EDLIC-2003-080552,ACTIVE,09-Oct-17,WESTERN FAIR ASSOCIATION,data redacted,900 KING ST  LONDON ON N5Y 5P8 CA,WESTERN FAIR ASSOCIATION,"900 KING ST  LONDON, ON, N5Y 5P8, CA",data redacted
80113,900 KING ST  LONDON N5Y 5P8 ON CA,EDLIC-2003-080553,ACTIVE,09-Oct-17,WESTERN FAIR ASSOCIATION,data redacted,900 KING ST  LONDON ON N5Y 5P8 CA,WESTERN FAIR ASSOCIATION,"900 KING ST  LONDON, ON, N5Y 5P8, CA",data redacted
80121,1567 NIAGARA STONE ROAD  VIRGIL L0S 1T0 ON CA,EDLIC-2003-080794,ACTIVE,26-Nov-17,MERIDIAN CREDIT UNION,data redacted,1567 NIAGARA STONE ROAD  VIRGIL ON L0S 1T0 CA,MERIDIAN CREDIT UNION,"1567 NIAGARA STONE ROAD  VIRGIL, ON, L0S 1T0, CA",data redacted
80122,32 COMMENCEMENT DR  OSHAWA L1G 8G3 ON CA,EDLIC-2003-080878,ACTIVE,27-Nov-17,DURHAM COLLEGE RESIDENCES,data redacted,1910 SIMCOE ST N  OSHAWA ON L1G 4Y3 CA,DURHAM COLLEGE RESIDENCES,"1910 SIMCOE ST N  OSHAWA, ON, L1G 4Y3, CA",data redacted
80123,32 COMMENCEMENT DR  OSHAWA L1G 8G3 ON CA,267147,ACTIVE,06-Jun-17,DURHAM COLLEGE RESIDENCES,data redacted,1910 SIMCOE ST N  OSHAWA ON L1G 4Y3 CA,DURHAM COLLEGE RESIDENCES,"1910 SIMCOE ST N  OSHAWA, ON, L1G 4Y3, CA",data redacted
80124,32 COMMENCEMENT DR  OSHAWA L1G 8G3 ON CA,EDLIC-2003-080418,ACTIVE,29-Aug-17,DURHAM COLLEGE RESIDENCES,data redacted,1910 SIMCOE ST N  OSHAWA ON L1G 4Y3 CA,DURHAM COLLEGE RESIDENCES,"1910 SIMCOE ST N  OSHAWA, ON, L1G 4Y3, CA",data redacted
80125,32 COMMENCEMENT DR  OSHAWA L1G 8G3 ON CA,EDLIC-2003-080548,ACTIVE,04-Sep-17,DURHAM COLLEGE RESIDENCES,data redacted,1910 SIMCOE ST N  OSHAWA ON L1G 4Y3 CA,DURHAM COLLEGE RESIDENCES,"1910 SIMCOE ST N  OSHAWA, ON, L1G 4Y3, CA",data redacted
80128,33 MAIN ST E  HAMILTON L8N 4K5 ON CA,EDLIC-2003-080375,ACTIVE,29-Aug-17,MACGILLIVRAY,data redacted,33 MAIN ST E  HAMILTON ON L8N 4K5 CA,MACGILLIVRAY,"33 MAIN ST E  HAMILTON, ON, L8N 4K5, CA",data redacted
80129,6588 CARRIERE ST  ORLEANS K1C 1J4 ON CA,EDLIC-2004-080963,ACTIVE,05-Jan-17,CONSEIL DES ECOLES CATHOLIQUES DE LANGUE FRANCAISE REGION D'OTTAWA-CARLETON,data redacted,4000 LABELLE ST  GLOUCESTER ON K1J 1A1 CA,CONSEIL DES ECOLES CATHOLIQUES DE LANGUE FRANCAISE REGION D'OTTAWA-CARLETON,"4000 LABELLE ST  GLOUCESTER, ON, K1J 1A1, CA",data redacted
8013,2 SQUARE  GODERICH N7A 2X7 ON CA,EDLIC-008013,ACTIVE,15-Aug-17,F P STRICKLAND,data redacted,100 KINGSTON ST  GODERICH ON N7A 3K4 CA,F P STRICKLAND,"100 KINGSTON ST  GODERICH, ON, N7A 3K4, CA",data redacted
80130,1875 BUCKHORN GATE  MISSISSAUGA L4W 5P1 ON CA,EDLIC-2003-080895,ACTIVE,11-Nov-17,TD BANK GROUP,data redacted,1875 BUCKHORN GATE SUITE G-442 MISSISSAUGA ON L4W 5P1 CA,TD BANK GROUP,"1875 BUCKHORN GATE SUITE G-442 MISSISSAUGA, ON, L4W 5P1, CA",data redacted
80131,1875 BUCKHORN GATE  MISSISSAUGA L4W 5P1 ON CA,EDLIC-2003-080212,ACTIVE,18-Jul-17,TD BANK GROUP,data redacted,1875 BUCKHORN GATE SUITE G-442 MISSISSAUGA ON L4W 5P1 CA,TD BANK GROUP,"1875 BUCKHORN GATE SUITE G-442 MISSISSAUGA, ON, L4W 5P1, CA",data redacted
80132,270 HURST DR  BARRIE L4N 0Z3 ON CA,EDLIC-2004-082095,ACTIVE,30-Sep-17,TOLLENDALE VILLAGE,data redacted,274 HURST DR  BARRIE ON L4N 0Z3 CA,TOLLENDALE VILLAGE,"274 HURST DR  BARRIE, ON, L4N 0Z3, CA",data redacted
80133,270 HURST DR  BARRIE L4N 0Z3 ON CA,EDLIC-2004-081913,ACTIVE,30-Sep-17,TOLLENDALE VILLAGE,data redacted,274 HURST DR  BARRIE ON L4N 0Z3 CA,TOLLENDALE VILLAGE,"274 HURST DR  BARRIE, ON, L4N 0Z3, CA",data redacted
80135,80 HARRISON GARDEN BLVD  TORONTO M2N 7E3 ON CA,EDLIC-2004-081226,ACTIVE,26-Feb-17,TSCC # 1600 C/O MANAGEMENT OFFICE,data redacted,78 HARRISON GARDEN BLVD  TORONTO ON M2N 7E2 CA,TSCC # 1600 C/O MANAGEMENT OFFICE,"78 HARRISON GARDEN BLVD  TORONTO, ON, M2N 7E2, CA",data redacted
80136,80 HARRISON GARDEN BLVD  TORONTO M2N 7E3 ON CA,EDLIC-2004-081283,ACTIVE,11-Mar-17,TSCC # 1600 C/O MANAGEMENT OFFICE,data redacted,78 HARRISON GARDEN BLVD  TORONTO ON M2N 7E2 CA,TSCC # 1600 C/O MANAGEMENT OFFICE,"78 HARRISON GARDEN BLVD  TORONTO, ON, M2N 7E2, CA",data redacted
80137,80 HARRISON GARDEN BLVD  TORONTO M2N 7E3 ON CA,EDLIC-2004-081371,ACTIVE,07-Apr-17,TSCC # 1600 C/O MANAGEMENT OFFICE,data redacted,78 HARRISON GARDEN BLVD  TORONTO ON M2N 7E2 CA,TSCC # 1600 C/O MANAGEMENT OFFICE,"78 HARRISON GARDEN BLVD  TORONTO, ON, M2N 7E2, CA",data redacted
80138,80 HARRISON GARDEN BLVD  TORONTO M2N 7E3 ON CA,EDLIC-2004-081192,ACTIVE,20-Feb-17,TSCC # 1600 C/O MANAGEMENT OFFICE,data redacted,78 HARRISON GARDEN BLVD  TORONTO ON M2N 7E2 CA,TSCC # 1600 C/O MANAGEMENT OFFICE,"78 HARRISON GARDEN BLVD  TORONTO, ON, M2N 7E2, CA",data redacted
80145,801 AVIATION PARKWAY  OTTAWA K1K 4R3 ON CA,EDLIC-2003-080362,ACTIVE,31-Mar-17,LA CITE COLLEGIALE,data redacted,801 PROMENADE DE L'AVIATION  OTTAWA ON K1K 4R3 CA,LA CITE COLLEGIALE,"801 PROMENADE DE L'AVIATION  OTTAWA, ON, K1K 4R3, CA",data redacted
80147,200 UNIVERSITY AV W  WATERLOO N2L 3G1 ON CA,EDLIC-2003-080265,ACTIVE,15-Jan-17,"UNIVERSITY OF WATERLOO, PLANT OPERATIONS DEPT",data redacted,200 UNIVERSITY AVE W  WATERLOO ON N2L 3G1 CA,"UNIVERSITY OF WATERLOO, PLANT OPERATIONS DEPT","200 UNIVERSITY AVE W  WATERLOO, ON, N2L 3G1, CA",data redacted
80148,61 CLAIREVILLE DR  TORONTO M9W 5Z7 ON CA,EDLIC-2004-081385,ACTIVE,19-Mar-17,SHREE SWAMINARAYAN MANDIR,data redacted,61 CLAIREVILLE DR  TORONTO ON M9W 5Z7 CA,SHREE SWAMINARAYAN MANDIR,"61 CLAIREVILLE DR  TORONTO, ON, M9W 5Z7, CA",data redacted
80149,61 CLAIREVILLE DR  TORONTO M9W 5Z7 ON CA,EDLIC-2003-080850,ACTIVE,27-Nov-17,SHREE SWAMINARAYAN MANDIR,data redacted,61 CLAIREVILLE DR  TORONTO ON M9W 5Z7 CA,SHREE SWAMINARAYAN MANDIR,"61 CLAIREVILLE DR  TORONTO, ON, M9W 5Z7, CA",data redacted
80150,95 WELLESLEY ST E  TORONTO M4Y 1H6 ON CA,EDLIC-2003-080113,ACTIVE,10-Jul-17,TURNING POINT YOUTH SERVICES,data redacted,95 WELLESLEY ST E Suite 300 TORONTO ON M4Y 2X9 CA,TURNING POINT YOUTH SERVICES,"95 WELLESLEY ST E Suite 300 TORONTO, ON, M4Y 2X9, CA",data redacted
80151,UNIVERSITY RD W  ST CATHARINES L2S 3A1 ON CA,EDLIC-2003-080721,ACTIVE,29-Oct-17,BROCK UNIVERSITY,data redacted,500 GLENRIDGE AVE  ST CATHARINES ON L2S 3A1 CA,BROCK UNIVERSITY,"500 GLENRIDGE AVE  ST CATHARINES, ON, L2S 3A1, CA",data redacted
80152,UNIVERSITY RD W  ST CATHARINES L2S 3A1 ON CA,EDLIC-2003-080733,ACTIVE,01-Oct-17,BROCK UNIVERSITY,data redacted,500 GLENRIDGE AVE  ST CATHARINES ON L2S 3A1 CA,BROCK UNIVERSITY,"500 GLENRIDGE AVE  ST CATHARINES, ON, L2S 3A1, CA",data redacted
80153,574 NORTHCLIFFE AVENUE  DUNDAS L9H 7L9 ON CA,EDLIC-2003-080937,ACTIVE,18-Dec-16,SISTERS OF ST. JOSEPH,data redacted,574 NORTHCLIFFE AVENUE  DUNDAS ON L9H 7L9 CA,SISTERS OF ST. JOSEPH,"PO BOX 155 LCD 1  HAMILTON, ON, L8L 7V7, CA",data redacted
80154,102 CRAIGLEE DR  SCARBOROUGH M1N 2M7 ON CA,201006,ACTIVE,05-Apr-17,CRAIGLEE NURSING HOME LTD,data redacted,102 CRAIGLEE DR  SCARBOROUGH ON M1N 2M7 CA,CRAIGLEE NURSING HOME LTD,"102 CRAIGLEE DR  SCARBOROUGH, ON, M1N 2M7, CA",data redacted
80155,1 QUARRY RIDGE RD  BARRIE L4M 7G1 ON CA,EDLIC-2003-080328,ACTIVE,03-Sep-17,1500412 ONTARIO INC,data redacted,P.O. BOX 684  BARRIE ON L4M 4Y5 CA,1500412 ONTARIO INC,"P.O. BOX 684  BARRIE, ON, L4M 4Y5, CA",data redacted
80156,102 CRAIGLEE DR  SCARBOROUGH M1N 2M7 ON CA,201007,ACTIVE,05-Apr-17,CRAIGLEE NURSING HOME LTD,data redacted,102 CRAIGLEE DR  SCARBOROUGH ON M1N 2M7 CA,CRAIGLEE NURSING HOME LTD,"102 CRAIGLEE DR  SCARBOROUGH, ON, M1N 2M7, CA",data redacted
80157,44 QUEEN ST N  KINCARDINE N2Z 1G6 ON CA,EDLIC-2003-080604,ACTIVE,23-Oct-17,MUNICIPALITY OF KINCARDINE,data redacted,1475 CONCESSION 5 RR 5 KINCARDINE ON N2Z 2X6 CA,MUNICIPALITY OF KINCARDINE,"1475 CONCESSION 5 RR 5 KINCARDINE, ON, N2Z 2X6, CA",data redacted
80161,111 BLOOR ST W  TORONTO M5S 1P7 ON CA,205165,ACTIVE,31-Jan-17,DOLCE & GABBANA CANADA INC,data redacted,111 BLOOR ST W  TORONTO ON M5S 1P7 CA,DOLCE & GABBANA CANADA INC,"148 LAFAYETTE ST 9TH FLR NEW YORK, , 10013, CA",data redacted
80162,10 QUEEN'S PARADE  NIAGARA ON THE LAKE L0S 1J0 ON CA,EDLIC-2004-081186,ACTIVE,26-Feb-17,SHAW FESTIVAL THEATRE,data redacted,10 QUEEN'S PARADE  NIAGARA ON THE LAKE ON L0S 1J0 CA,SHAW FESTIVAL THEATRE,"10 QUEEN'S PARADE  NIAGARA ON THE LAKE, ON, L0S 1J0, CA",data redacted
80163,50 STEINWAY BLVD  TORONTO M9W 6Y3 ON CA,EDLIC-2003-080584,ACTIVE,22-Oct-17,APOTEX INC.,data redacted,50 STEINWAY BLVD  TORONTO ON M9W 6Y3 CA,APOTEX INC.,"50 STEINWAY BLVD  TORONTO, ON, M9W 6Y3, CA",data redacted
80164,208 QUEENS QUAY WEST  TORONTO M5J 2Y5 ON CA,EDLIC-2004-081397,ACTIVE,08-Apr-17,TSCC 1649 C/O SIMERRA PROPERTY MANAGEMENT,data redacted,8 YORK ST  TORONTO ON M5J 2Y2 CA,TSCC 1649 C/O SIMERRA PROPERTY MANAGEMENT,"8 YORK ST  TORONTO, ON, M5J 2Y2, CA",data redacted
80165,208 QUEENS QUAY WEST  TORONTO M5J 2Y5 ON CA,EDLIC-2004-081444,ACTIVE,21-Apr-17,TSCC 1649 C/O SIMERRA PROPERTY MANAGEMENT,data redacted,8 YORK ST  TORONTO ON M5J 2Y2 CA,TSCC 1649 C/O SIMERRA PROPERTY MANAGEMENT,"8 YORK ST  TORONTO, ON, M5J 2Y2, CA",data redacted
80166,208 QUEENS QUAY WEST  TORONTO M5J 2Y5 ON CA,EDLIC-2004-081535,ACTIVE,04-May-17,TSCC 1649 C/O SIMERRA PROPERTY MANAGEMENT,data redacted,8 YORK ST  TORONTO ON M5J 2Y2 CA,TSCC 1649 C/O SIMERRA PROPERTY MANAGEMENT,"8 YORK ST  TORONTO, ON, M5J 2Y2, CA",data redacted
80167,208 QUEENS QUAY WEST  TORONTO M5J 2Y5 ON CA,EDLIC-2004-081639,ACTIVE,04-Jun-17,TSCC 1649 C/O SIMERRA PROPERTY MANAGEMENT,data redacted,8 YORK ST  TORONTO ON M5J 2Y2 CA,TSCC 1649 C/O SIMERRA PROPERTY MANAGEMENT,"8 YORK ST  TORONTO, ON, M5J 2Y2, CA",data redacted
80170,10 QUEEN'S PARADE  NIAGARA ON THE LAKE L0S 1J0 ON CA,EDLIC-2004-081210,ACTIVE,26-Feb-17,SHAW FESTIVAL THEATRE,data redacted,10 QUEEN'S PARADE  NIAGARA ON THE LAKE ON L0S 1J0 CA,SHAW FESTIVAL THEATRE,"10 QUEEN'S PARADE  NIAGARA ON THE LAKE, ON, L0S 1J0, CA",data redacted
80171,705 MACKAY ST  PEMBROKE K8A 1G8 ON CA,EDLIC-2004-081034,ACTIVE,26-Jan-17,PEMBROKE REGIONAL HOSPITAL,data redacted,705 MACKAY ST  PEMBROKE ON K8A 1G8 CA,PEMBROKE REGIONAL HOSPITAL,"705 MACKAY ST  PEMBROKE, ON, K8A 1G8, CA",data redacted
80172,705 MACKAY ST  PEMBROKE K8A 1G8 ON CA,EDLIC-2004-081214,ACTIVE,27-Feb-17,PEMBROKE REGIONAL HOSPITAL,data redacted,705 MACKAY ST  PEMBROKE ON K8A 1G8 CA,PEMBROKE REGIONAL HOSPITAL,"705 MACKAY ST  PEMBROKE, ON, K8A 1G8, CA",data redacted
80173,1001 PETER ROBERTSON BLVD  BRAMPTON L6R 2Y3 ON CA,EDLIC-2004-081004,ACTIVE,15-Jan-17,TALL PINES LTC CENTRE,data redacted,1001 PETER ROBERTSON BLVD  BRAMPTON ON L6R 2Y3 CA,TALL PINES LTC CENTRE,"1001 PETER ROBERTSON BLVD  BRAMPTON, ON, L6R 2Y3, CA",data redacted
80174,57 MILL ST N  BRAMPTON L6X 1S9 ON CA,EDLIC-2003-080651,ACTIVE,25-Sep-17,1037319 ONTARIO LIMITED,data redacted,45 VANSCO RD  ETOBICOKE ON M8Z 5Z8 CA,1037319 ONTARIO LIMITED,"45 VANSCO RD  ETOBICOKE, ON, M8Z 5Z8, CA",data redacted
80175,278 HURST DR  BARRIE L4N 0Z3 ON CA,170796,ACTIVE,30-Sep-17,TOLLENDALE VILLAGE,data redacted,274 HURST DR  BARRIE ON L4N 0Z3 CA,TOLLENDALE VILLAGE,"274 HURST DR  BARRIE, ON, L4N 0Z3, CA",data redacted
80176,278 HURST DR  BARRIE L4N 0Z3 ON CA,170799,ACTIVE,30-Sep-17,TOLLENDALE VILLAGE,data redacted,274 HURST DR  BARRIE ON L4N 0Z3 CA,TOLLENDALE VILLAGE,"274 HURST DR  BARRIE, ON, L4N 0Z3, CA",data redacted
80177,112 MACFARLANE ST  PAKENHAM K0A 2X0 ON CA,EDLIC-2003-080492,ACTIVE,19-Aug-17,TOWN OF MISSISSIPPI MILLS,data redacted,3131 OLD PERTH RD  ALMONTE ON K0A 1A0 CA,TOWN OF MISSISSIPPI MILLS,"3131 OLD PERTH RD  ALMONTE, ON, K0A 1A0, CA",data redacted
80178,350 WELLINGTON ST W  TORONTO M5V 3W9 ON CA,EDLIC-2003-080793,ACTIVE,17-Nov-17,SOHO GRAND CONDOMINIUM PARTNERHIP O/A SOHO CONDOMINIUMS ATTN:  MANAGEMENT OFFICE,data redacted,350 WELLINGTON ST WEST Suite G01 TORONTO ON M5V 3W9 CA,SOHO GRAND CONDOMINIUM PARTNERHIP O/A SOHO CONDOMINIUMS ATTN:  MANAGEMENT OFFICE,"350 WELLINGTON ST WEST Suite G01 TORONTO, ON, M5V 3W9, CA",data redacted
80179,350 WELLINGTON ST W  TORONTO M5V 3W9 ON CA,EDLIC-2003-080729,ACTIVE,30-Oct-17,SOHO GRAND CONDOMINIUM PARTNERHIP O/A SOHO CONDOMINIUMS ATTN:  MANAGEMENT OFFICE,data redacted,350 WELLINGTON ST WEST Suite G01 TORONTO ON M5V 3W9 CA,SOHO GRAND CONDOMINIUM PARTNERHIP O/A SOHO CONDOMINIUMS ATTN:  MANAGEMENT OFFICE,"350 WELLINGTON ST WEST Suite G01 TORONTO, ON, M5V 3W9, CA",data redacted
80180,350 WELLINGTON ST W  TORONTO M5V 3W9 ON CA,EDLIC-2004-081329,ACTIVE,26-Mar-17,SOHO GRAND CONDOMINIUM PARTNERHIP O/A SOHO CONDOMINIUMS ATTN:  MANAGEMENT OFFICE,data redacted,350 WELLINGTON ST WEST Suite G01 TORONTO ON M5V 3W9 CA,SOHO GRAND CONDOMINIUM PARTNERHIP O/A SOHO CONDOMINIUMS ATTN:  MANAGEMENT OFFICE,"350 WELLINGTON ST WEST Suite G01 TORONTO, ON, M5V 3W9, CA",data redacted
80182,1001 PETER ROBERTSON BLVD  BRAMPTON L6R 2Y3 ON CA,EDLIC-2003-080749,ACTIVE,17-Nov-17,TALL PINES LTC CENTRE,data redacted,1001 PETER ROBERTSON BLVD  BRAMPTON ON L6R 2Y3 CA,TALL PINES LTC CENTRE,"1001 PETER ROBERTSON BLVD  BRAMPTON, ON, L6R 2Y3, CA",data redacted
80184,1001 PETER ROBERTSON BLVD  BRAMPTON L6R 2Y3 ON CA,EDLIC-2004-081287,ACTIVE,19-Mar-17,TALL PINES LTC CENTRE,data redacted,1001 PETER ROBERTSON BLVD  BRAMPTON ON L6R 2Y3 CA,TALL PINES LTC CENTRE,"1001 PETER ROBERTSON BLVD  BRAMPTON, ON, L6R 2Y3, CA",data redacted
80185,711 CONCESSION ST  HAMILTON L8V 1C3 ON CA,EDLIC-2004-081658,ACTIVE,11-Jun-17,HAMILTON REGIONAL CANCER CENTRE,data redacted,699 CONCESSION ST  HAMILTON ON L8V 5C2 CA,HAMILTON REGIONAL CANCER CENTRE,"699 CONCESSION ST  HAMILTON, ON, L8V 5C2, CA",data redacted
80186,6 WELLINGTON ST  STRATFORD N5A 2L2 ON CA,158052,ACTIVE,04-Mar-17,KITTY-CORNER PROPERTIES LTD,data redacted,59 LORNE AVE EAST UNIT 1 STRATFORD ON N5A 6S4 CA,KITTY-CORNER PROPERTIES LTD,"59 LORNE AVE EAST UNIT 1 STRATFORD, ON, N5A 6S4, CA",data redacted
80187,15 ELDEN ST  VIRGIL L0S 1T0 ON CA,EDLIC-2003-080536,ACTIVE,08-Sep-17,PLEASANT MANOR RETIREMENT VILLAGE,data redacted,15 ELDEN ST BOX 500 VIRGIL ON L0S 1T0 CA,PLEASANT MANOR RETIREMENT VILLAGE,"15 ELDEN ST BOX 500 VIRGIL, ON, L0S 1T0, CA",data redacted
80193,590 LOLITA GARDENS  MISSISSAUGA L5A 3K8 ON CA,EDLIC-2003-080505,ACTIVE,03-Oct-17,DEL CARE LTC INC,data redacted,590 LOLITA GARDEN  MISSISSAUGA ON L5A 3N8 CA,DEL CARE LTC INC,"590 LOLITA GARDEN  MISSISSAUGA, ON, L5A 3N8, CA",data redacted
80194,590 LOLITA GARDENS  MISSISSAUGA L5A 3K8 ON CA,EDLIC-2003-080396,ACTIVE,27-Aug-17,DEL CARE LTC INC,data redacted,590 LOLITA GARDEN  MISSISSAUGA ON L5A 3N8 CA,DEL CARE LTC INC,"590 LOLITA GARDEN  MISSISSAUGA, ON, L5A 3N8, CA",data redacted
80195,590 LOLITA GARDENS  MISSISSAUGA L5A 3K8 ON CA,EDLIC-2003-080170,ACTIVE,10-Jul-17,DEL CARE LTC INC,data redacted,590 LOLITA GARDEN  MISSISSAUGA ON L5A 3N8 CA,DEL CARE LTC INC,"590 LOLITA GARDEN  MISSISSAUGA, ON, L5A 3N8, CA",data redacted
80198,1086 MODELAND RD  SARNIA N7S 6L2 ON CA,EDLIC-2003-080637,ACTIVE,30-Oct-17,COUNTY OF LAMBTON (COMMUNITY DEVELOPMENT CORPORATION),data redacted,1086 MODELAND RD  SARNIA ON N7S 6L2 CA,COUNTY OF LAMBTON (COMMUNITY DEVELOPMENT CORPORATION),"1086 MODELAND RD  SARNIA, ON, N7S 6L2, CA",data redacted
80199,54 PARKWAY AVE  MARKHAM L3P 2G4 ON CA,EDLIC-2004-081045,ACTIVE,12-Jan-17,MARKHAVEN INC,data redacted,54 PARKWAY AV  MARKHAM ON L3P 2G4 CA,MARKHAVEN INC,"54 PARKWAY AV  MARKHAM, ON, L3P 2G4, CA",data redacted
802,1230 NORTH SHORE BLVD E  BURLINGTON L7S 1W7 ON CA,EDLIC-000802,ACTIVE,14-Apr-17,JOSEPH BRANT MEMORIAL HOSPITAL,data redacted,1230 NORTH SHORE BLVD E  BURLINGTON ON L7S 1W7 CA,JOSEPH BRANT MEMORIAL HOSPITAL,"1230 NORTH SHORE BLVD E  BURLINGTON, ON, L7S 1W7, CA",data redacted
80200,54 PARKWAY AVE  MARKHAM L3P 2G4 ON CA,EDLIC-2004-081044,ACTIVE,14-Jan-17,MARKHAVEN INC,data redacted,54 PARKWAY AV  MARKHAM ON L3P 2G4 CA,MARKHAVEN INC,"54 PARKWAY AV  MARKHAM, ON, L3P 2G4, CA",data redacted
80203,1360 UPPER SHERMAN  HAMILTON L8W 3Z6 ON CA,EDLIC-2003-080617,ACTIVE,24-Oct-17,HAMILTON RETIREMENT GROUP LTD,data redacted,1360 UPPER SHERMAN  HAMILTON ON L8W 3Z6 CA,HAMILTON RETIREMENT GROUP LTD,"300 EAST MARKET ST  LOUISVILLE, , 40202, CA",data redacted
80204,31 AVENUE OF CHAMPIONS  OSHAWA L1H 7K4 ON CA,EDLIC-2003-080423,ACTIVE,28-Aug-17,THE UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY - FACILITIES MANAGEMENT,data redacted,P O BOX 385  OSHAWA ON L1H 7L7 CA,THE UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY - FACILITIES MANAGEMENT,"P O BOX 385  OSHAWA, ON, L1H 7L7, CA",data redacted
80205,98 VANDERHOOF AVE  TORONTO M4G 4C9 ON CA,EDLIC-2003-080589,ACTIVE,17-Oct-17,MERCEDES BENZ CANADA,data redacted,98 VANDERHOOF AVE  TORONTO ON M4G 4C9 CA,MERCEDES BENZ CANADA,"98 VANDERHOOF AVE  TORONTO, ON, M4G 4C9, CA",data redacted
